Data,Price,Open,Max,Min
01.11.2014,2067.56,2018.21,2075.76,2001.01
01.10.2014,2018.05,1971.44,2018.19,1820.66
01.09.2014,1972.29,2004.07,2019.26,1964.04
01.08.2014,2003.37,1929.8,2005.04,1904.78
01.07.2014,1930.67,1962.29,1991.39,1930.67
01.06.2014,1960.23,1923.87,1968.17,1915.98
01.05.2014,1923.57,1884.39,1924.03,1859.79
01.04.2014,1883.95,1873.96,1897.28,1814.36
01.03.2014,1872.34,1857.68,1883.97,1834.44
01.02.2014,1859.45,1782.68,1867.92,1737.92
01.01.2014,1782.6,1845.9,1850.8,1770.5
01.12.2013,1848.4,1806.5,1849.4,1768
01.11.2013,1805.8,1758.7,1813.5,1746.2
01.10.2013,1756.5,1682.4,1775.2,1646.5
01.09.2013,1681.5,1636,1729.9,1633.4
01.08.2013,1633,1689.4,1709.7,1627.5
01.07.2013,1685.7,1609.8,1698.8,1604.6
01.06.2013,1606.3,1631.7,1654.2,1560.3
01.05.2013,1630.7,1597.5,1687.2,1581.3
01.04.2013,1597.6,1569.2,1597.6,1536
01.03.2013,1569.2,1514.7,1570.3,1501.5
01.02.2013,1514.7,1498.1,1530.9,1485
01.01.2013,1498.1,1426.2,1509.9,1426.2
01.12.2012,1426.2,1416.3,1448,1398.1
01.11.2012,1416.2,1412.2,1434.3,1343.3
01.10.2012,1412.2,1440.9,1471,1403.3
01.09.2012,1440.7,1406.5,1474.5,1396.6
01.08.2012,1406.6,1379.3,1426.7,1354.7
01.07.2012,1379.3,1362.3,1391.7,1325.4
01.06.2012,1362.2,1309.9,1363.5,1266.7
01.05.2012,1310.3,1397.9,1415.3,1292
01.04.2012,1397.9,1408.5,1422.4,1357.4
01.03.2012,1408.5,1365.9,1419.2,1340
01.02.2012,1365.7,1312.5,1378,1312.5
01.01.2012,1312.4,1258.9,1333.5,1258.9
01.12.2011,1257.6,1246.9,1269.4,1202.4
01.11.2011,1247,1251,1277.5,1158.7
01.10.2011,1253.3,1131.2,1292.7,1074.8
01.09.2011,1131.4,1219.1,1229.3,1114.2
01.08.2011,1218.9,1292.6,1307.4,1101.5
01.07.2011,1292.3,1320.6,1356.5,1282.9
01.06.2011,1320.6,1345.2,1345.2,1258.1
01.05.2011,1345.2,1365.2,1370.6,1311.8
01.04.2011,1363.6,1329.5,1364.6,1294.7
01.03.2011,1325.8,1328.6,1332.3,1249
01.02.2011,1327.2,1289.1,1344.1,1289.1
01.01.2011,1286.1,1257.6,1302.7,1257.6
01.12.2010,1257.6,1186.6,1262.6,1186.6
01.11.2010,1180.5,1185.7,1227.1,1173
01.10.2010,1183.3,1143.5,1196.1,1131.9
01.09.2010,1141.2,1049.7,1157.2,1049.7
01.08.2010,1049.3,1107.5,1129.2,1039.7
01.07.2010,1101.6,1031.1,1121,1010.9
01.06.2010,1030.7,1087.3,1131.2,1028.3
01.05.2010,1089.4,1188.6,1205.1,1040.8
01.04.2010,1186.7,1171.2,1219.8,1170.7
01.03.2010,1169.4,1105.4,1180.7,1105.4
01.02.2010,1104.5,1073.9,1112.4,1044.5
01.01.2010,1073.9,1116.6,1150.5,1071.6
01.12.2009,1115.1,1098.9,1130.4,1085.9
01.11.2009,1095.6,1036.2,1113.7,1029.4
01.10.2009,1036.2,1054.9,1101.4,1020
01.09.2009,1057.1,1019.5,1080.2,992
01.08.2009,1020.6,990.2,1039.5,978.5
01.07.2009,987.5,920.8,996.7,869.3
01.06.2009,919.3,923.3,956.2,888.9
01.05.2009,919.1,872.7,930.2,866.1
01.04.2009,872.8,793.6,888.7,783.3
01.03.2009,797.9,729.6,833,666.8
01.02.2009,735.1,823.1,875,734.5
01.01.2009,825.9,903,943.9,804.3
