Data,Price,Open,Max,Min
06.08.2024,5240.03,5206.42,5312.34,5193.56
05.08.2024,5186.33,5151.14,5250.89,5119.26
02.08.2024,5346.56,5376.63,5383.89,5302.03
01.08.2024,5446.68,5537.84,5566.16,5410.42
31.07.2024,5522.3,5505.59,5551.51,5493.75
30.07.2024,5436.44,5478.73,5489.46,5401.7
29.07.2024,5463.54,5476.55,5487.74,5444.44
26.07.2024,5459.1,5433.67,5488.32,5430.7
25.07.2024,5399.22,5428.7,5491.59,5390.95
24.07.2024,5427.13,5505.84,5508.04,5419.98
23.07.2024,5555.74,5565.3,5585.34,5550.9
22.07.2024,5564.41,5544.54,5570.36,5529.04
19.07.2024,5505,5543.37,5557.5,5497.04
18.07.2024,5544.59,5608.56,5614.05,5522.81
17.07.2024,5588.27,5610.07,5622.49,5584.81
16.07.2024,5667.2,5644.09,5669.67,5639.02
15.07.2024,5631.22,5638.16,5666.94,5614.75
12.07.2024,5615.35,5590.76,5655.56,5590.44
11.07.2024,5584.54,5635.21,5642.45,5576.53
10.07.2024,5633.91,5591.26,5635.39,5586.44
09.07.2024,5576.98,5584.24,5590.75,5574.57
08.07.2024,5572.85,5572.75,5583.11,5562.51
05.07.2024,5567.19,5537.91,5570.33,5531.63
03.07.2024,5537.02,5507.44,5539.27,5507.42
02.07.2024,5509.01,5461.84,5509.69,5458.43
01.07.2024,5475.09,5471.08,5479.55,5446.53
28.06.2024,5460.48,5488.48,5523.64,5451.12
27.06.2024,5482.87,5473.59,5490.81,5467.54
26.06.2024,5477.9,5460.71,5483.14,5451.87
25.06.2024,5469.3,5460.73,5472.88,5446.56
24.06.2024,5447.87,5459.58,5490.66,5447.59
21.06.2024,5464.62,5466.77,5478.31,5452.03
20.06.2024,5473.17,5499.99,5505.53,5455.56
18.06.2024,5487.03,5476.15,5490.38,5471.32
17.06.2024,5473.23,5431.11,5488.5,5420.4
14.06.2024,5431.6,5424.08,5432.39,5403.75
13.06.2024,5433.74,5441.93,5441.93,5402.51
